gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000128284.19,APOL3,NA,NA,NA,NA,0.0692281232265034,0.00041858744555030124,0.0004496646147218716,0,21.0,11
ENSG00000128311.13,TST,NA,NA,NA,NA,0.320144219001334,2.7767526689480906e-16,7.124491349426153e-16,0,11.0,99
ENSG00000128340.14,RAC2,NA,NA,NA,NA,0.0599579316981037,0.0010553660434913254,0.0011088282684503484,0,NA,10
ENSG00000128342.4,LIF,NA,NA,NA,NA,0.136617080059115,4.452282616637418e-07,5.947597074973044e-07,0,NA,21
ENSG00000130487.5,KLHDC7B,NA,NA,NA,NA,0.190290331791853,1.4323455485436318e-09,2.281621168519225e-09,0,NA,32
ENSG00000130489.14,SCO2,NA,NA,NA,NA,0.193385204544949,1.018680008161922e-09,1.6391649588426866e-09,0,NA,22
ENSG00000130943.6,PKDREJ,NA,NA,NA,NA,0.331340935637223,6.439763158848227e-17,1.7402512912793385e-16,0,NA,102
ENSG00000133424.20,LARGE1,NA,NA,NA,NA,0.0901592850117248,5.145557156089315e-05,5.901557751859772e-05,0,11.0,11
ENSG00000133433.10,GSTT2B,NA,NA,NA,NA,0.296262198486354,5.811281503617091e-15,1.3596652522341185e-14,0,NA,68
ENSG00000133475.16,GGT2,NA,NA,NA,NA,0.0700797031587413,0.00038447807835624353,0.00041408798311301905,0,NA,13
ENSG00000133519.12,ZDHHC8P1,NA,NA,NA,NA,0.233710080516237,1.0743725395091257e-11,1.9790166184863363e-11,0,NA,49
ENSG00000138867.16,GUCD1,NA,NA,NA,NA,0.192140605121212,1.1684775073135057e-09,1.872008951559981e-09,0,NA,58
ENSG00000138942.15,RNF185,NA,NA,NA,NA,0.0415331845601107,0.006668952108930021,0.006790152036441604,0,NA,23
ENSG00000138944.7,KIAA1644,NA,NA,NA,NA,0.283581096349151,2.806776819259539e-14,6.206658343046124e-14,0,NA,76
ENSG00000159496.14,RGL4,NA,NA,NA,NA,0.194328092441087,9.180039223857073e-10,1.4807970573876193e-09,0,NA,35
ENSG00000161132.6,XXbac-B444P24.10,NA,NA,NA,NA,0.181480639982151,3.7553063228787805e-09,5.773720631628219e-09,0,NA,47
ENSG00000161180.10,CCDC116,NA,NA,NA,NA,0.183584791665818,2.9855662290698056e-09,4.629769200454578e-09,0,NA,52
ENSG00000166897.14,ELFN2,NA,NA,NA,NA,0.174977609371686,7.605347066202056e-09,1.1457276413225854e-08,0,NA,32
ENSG00000167037.18,SGSM1,NA,NA,NA,NA,0.285070649865875,2.3359989162562034e-14,5.196890567206295e-14,0,NA,58
ENSG00000167074.14,TEF,NA,NA,NA,NA,0.111006089071598,6.232230318709355e-06,7.686138546080745e-06,0,NA,11
ENSG00000167077.12,MEI1,NA,NA,NA,NA,0.0949979893092698,3.1602303433528405e-05,3.679659915692041e-05,0,NA,10
ENSG00000169184.5,MN1,NA,NA,NA,NA,0.162150798397137,3.0170009327646927e-08,4.371582490181674e-08,0,10.0,41
ENSG00000169635.9,HIC2,NA,NA,NA,NA,0.0756882067010519,0.00021956492104103343,0.0002399907797436373,0,NA,65
ENSG00000169668.11,BCRP2,NA,NA,NA,NA,0.145200242000156,1.8145679574535136e-07,2.4917426981143155e-07,0,NA,21
ENSG00000172346.14,CSDC2,NA,NA,NA,NA,0.130856292876365,8.100766245521054e-07,1.0619181090576038e-06,0,NA,35
ENSG00000176635.17,HORMAD2,NA,NA,NA,NA,0.206269849337635,2.434073180381503e-10,4.090026404781501e-10,0,NA,47
ENSG00000177663.13,IL17RA,NA,NA,NA,NA,0.0804185522474699,0.00013677772356477717,0.0001516854223431711,0,NA,11
